Ürün Adı,Fiyat,Ekran Boyutu,Dahili Depolama,Bellek (RAM),Batarya Kapasitesi,Teknik Puan,Link
Pocophone F1,,6.18 İnç,128 GB,6 GB,4000 mAh,60.0,https://www.epey.com/akilli-telefonlar/xiaomi-pocophone-f1-128gb.html
OnePlus 6,,6.28 İnç,64 GB,6 GB,3300 mAh,60.0,https://www.epey.com/akilli-telefonlar/oneplus-6.html
Oppo Reno,,6.4 İnç,256 GB,6 GB,3765 mAh,60.0,https://www.epey.com/akilli-telefonlar/oppo-reno.html
Huawei Mate 9 Porsche Design,,5.5 İnç,256 GB,6 GB,4000 mAh,59.0,https://www.epey.com/akilli-telefonlar/huawei-mate-9-porsche-design.html
Poco M3 Pro 5G,3539.0,6.5 İnç,128 GB,6 GB,5000 mAh,59.0,https://www.epey.com/akilli-telefonlar/poco-m3-pro-5g-128gb.html
Realme 7,3719.07,6.5 İnç,64 GB,6 GB,5000 mAh,59.0,https://www.epey.com/akilli-telefonlar/realme-7.html
Xiaomi Mi MIX 2S,,5.99 İnç,64 GB,6 GB,3400 mAh,59.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-mix-2s.html
TCL 10 Plus,2816.04,6.47 İnç,64 GB,6 GB,4500 mAh,59.0,https://www.epey.com/akilli-telefonlar/tcl-10-plus.html
Apple iPhone 8 Plus (PRODUCT)RED Special Edition,,5.5 İnç,256 GB,3 GB,2675 mAh,59.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-plus-productred-special-edition-256gb.html
Apple iPhone 8 Plus,,5.5 İnç,256 GB,3 GB,2675 mAh,59.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-plus-256gb.html
Huawei Mate 9 Pro,,5.5 İnç,128 GB,6 GB,4000 mAh,59.0,https://www.epey.com/akilli-telefonlar/huawei-mate-9-pro.html
Samsung Galaxy M32,2898.81,6.4 İnç,128 GB,6 GB,5000 mAh,59.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m32.html
Apple iPhone XR,6788.07,6.1 İnç,128 GB,3 GB,2942 mAh,63.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xr-128gb.html
Samsung Galaxy S8+ Plus,6271.54,6.2 İnç,64 GB,4 GB,3500 mAh,63.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s8-plus.html
Apple iPhone SE 2 (2020),4966.2,4.7 İnç,64 GB,3 GB,1821 mAh,63.0,https://www.epey.com/akilli-telefonlar/apple-iphone-se-2020.html
Samsung Galaxy M31,4929.0,6.4 İnç,128 GB,6 GB,6000 mAh,63.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m31.html
Xiaomi Mi 8,,6.21 İnç,128 GB,6 GB,3400 mAh,63.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-8-128gb.html
Apple iPhone X,11860.0,5.8 İnç,256 GB,3 GB,2716 mAh,63.0,https://www.epey.com/akilli-telefonlar/apple-iphone-x-256gb.html
Meizu 16th,,6.0 İnç,128 GB,8 GB,3010 mAh,63.0,https://www.epey.com/akilli-telefonlar/meizu-16-th-128gb.html
Xiaomi Redmi Note 8 Pro,2798.97,6.53 İnç,128 GB,6 GB,4500 mAh,63.0,https://www.epey.com/akilli-telefonlar/redmi-note-8-pro-128gb.html
Xiaomi Mi 9 SE,,5.97 İnç,128 GB,6 GB,3070 mAh,63.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9-se-128gb.html
Redmi Note 10,3821.28,6.43 İnç,128 GB,4 GB,5000 mAh,62.0,https://www.epey.com/akilli-telefonlar/redmi-note-10-128gb.html
OnePlus Nord N10 5G,3699.0,6.49 İnç,128 GB,6 GB,4300 mAh,62.0,https://www.epey.com/akilli-telefonlar/oneplus-nord-n10-5g.html
Oppo Reno5 Lite,3299.0,6.43 İnç,128 GB,8 GB,4310 mAh,62.0,https://www.epey.com/akilli-telefonlar/oppo-reno5-lite.html
Honor 20,,6.26 İnç,128 GB,6 GB,3750 mAh,62.0,https://www.epey.com/akilli-telefonlar/honor-20.html
Samsung Galaxy A80,4499.0,6.7 İnç,128 GB,8 GB,3700 mAh,62.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a80.html
Huawei Nova 5T,6070.0,6.26 İnç,128 GB,6 GB,3750 mAh,62.0,https://www.epey.com/akilli-telefonlar/huawei-nova-5t.html
OnePlus 6,5399.0,6.28 İnç,128 GB,8 GB,3300 mAh,62.0,https://www.epey.com/akilli-telefonlar/oneplus-6-128gb.html
Oppo Reno2 Z,4324.5,6.5 İnç,128 GB,8 GB,4000 mAh,62.0,https://www.epey.com/akilli-telefonlar/oppo-reno2-z.html
Realme 6,3347.07,6.5 İnç,128 GB,8 GB,4300 mAh,62.0,https://www.epey.com/akilli-telefonlar/realme-6-8gb.html
Samsung Galaxy S8 (Dual),3789.0,5.8 İnç,64 GB,4 GB,3000 mAh,62.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s8-dual-sim.html
Samsung Galaxy S8,5982.04,5.8 İnç,64 GB,4 GB,3000 mAh,62.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s8.html
HTC U11+ Plus,,6.0 İnç,128 GB,6 GB,3930 mAh,62.0,https://www.epey.com/akilli-telefonlar/htc-u11-plus.html
Xiaomi Redmi Note 9S,2899.0,6.67 İnç,64 GB,4 GB,5020 mAh,62.0,https://www.epey.com/akilli-telefonlar/redmi-note-9s.html
Xiaomi Mi 9 Lite,3639.0,6.39 İnç,64 GB,6 GB,4030 mAh,62.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9-lite.html
Tecno Camon 16 Premier,3749.0,6.9 İnç,128 GB,8 GB,4500 mAh,62.0,https://www.epey.com/akilli-telefonlar/tecno-camon-16-premier.html
Apple iPhone XR,5899.91,6.1 İnç,64 GB,3 GB,2942 mAh,62.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xr.html
Samsung Galaxy A70,5085.0,6.7 İnç,128 GB,6 GB,4500 mAh,61.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a70.html
Samsung Galaxy A70,,6.7 İnç,128 GB,6 GB,4500 mAh,61.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a70-dual.html
Xiaomi Mi 8,3539.0,6.21 İnç,64 GB,6 GB,3400 mAh,61.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-8.html
TCL 10 Plus,3440.07,6.47 İnç,256 GB,6 GB,4500 mAh,61.0,https://www.epey.com/akilli-telefonlar/tcl-10-plus-256gb.html
Xiaomi Redmi Note 8 Pro,3255.0,6.53 İnç,64 GB,6 GB,4500 mAh,61.0,https://www.epey.com/akilli-telefonlar/redmi-note-8-pro.html
Xiaomi Mi 9 SE,,5.97 İnç,64 GB,6 GB,3070 mAh,61.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9-se.html
Oppo Reno 4,4394.1,6.4 İnç,128 GB,8 GB,4015 mAh,66.0,https://www.epey.com/akilli-telefonlar/oppo-reno-4.html
Vivo V21e,4799.0,6.44 İnç,128 GB,8 GB,4000 mAh,66.0,https://www.epey.com/akilli-telefonlar/vivo-v21e.html
Huawei Mate 20,,6.53 İnç,128 GB,4 GB,4000 mAh,66.0,https://www.epey.com/akilli-telefonlar/huawei-mate-20.html
Xiaomi Redmi Note 9 Pro,3278.25,6.67 İnç,128 GB,6 GB,5020 mAh,65.0,https://www.epey.com/akilli-telefonlar/redmi-note-9-pro-128gb.html
Poco X3 NFC,3254.07,6.67 İnç,64 GB,6 GB,5160 mAh,65.0,https://www.epey.com/akilli-telefonlar/poco-x3-nfc.html
Apple iPhone SE 2 (2020),9999.0,4.7 İnç,256 GB,3 GB,1821 mAh,65.0,https://www.epey.com/akilli-telefonlar/apple-iphone-se-2020-256gb.html
Xiaomi Mi Note 10 Lite,3471.69,6.47 İnç,128 GB,6 GB,5260 mAh,65.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-10-lite-128gb.html
Realme 6 Pro,3672.57,6.6 İnç,128 GB,8 GB,4300 mAh,65.0,https://www.epey.com/akilli-telefonlar/realme-6-pro.html
Xiaomi Mi 8 Pro,,6.21 İnç,128 GB,8 GB,3000 mAh,65.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-8-pro.html
Redmi Note 10S,3393.57,6.43 İnç,128 GB,6 GB,5000 mAh,65.0,https://www.epey.com/akilli-telefonlar/redmi-note-10s.html
Realme 8 Pro,3799.0,6.4 İnç,128 GB,6 GB,4500 mAh,65.0,https://www.epey.com/akilli-telefonlar/realme-8-pro.html
Realme X2,,6.4 İnç,128 GB,8 GB,4000 mAh,65.0,https://www.epey.com/akilli-telefonlar/realme-x2.html
Xiaomi Mi 9T,4776.65,6.39 İnç,128 GB,6 GB,4000 mAh,65.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9t-128gb.html
LG G7 ThinQ,6881.07,6.1 İnç,64 GB,4 GB,3000 mAh,65.0,https://www.epey.com/akilli-telefonlar/lg-g7-thinq.html
Xiaomi Redmi Note 9S,3006.69,6.67 İnç,128 GB,6 GB,5020 mAh,64.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-9s-128gb.html
Apple iPhone SE 2 (2020),5812.5,4.7 İnç,128 GB,3 GB,1821 mAh,64.0,https://www.epey.com/akilli-telefonlar/apple-iphone-se-2020-128gb.html
Apple iPhone XR,,6.1 İnç,256 GB,3 GB,2942 mAh,64.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xr-256gb.html
Xiaomi Redmi Note 9 Pro,3097.83,6.67 İnç,64 GB,6 GB,5020 mAh,64.0,https://www.epey.com/akilli-telefonlar/redmi-note-9-pro.html
Xiaomi Mi Mix 3,,6.39 İnç,128 GB,6 GB,3200 mAh,64.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-mix-3.html
Xiaomi Mi Note 10 Lite,3561.41,6.47 İnç,64 GB,6 GB,5260 mAh,64.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-10-lite.html
Redmi Note 10,3626.07,6.43 İnç,128 GB,6 GB,5000 mAh,64.0,https://www.epey.com/akilli-telefonlar/redmi-note-10-6gb.html
Huawei Mate 10 Pro,6754.04,6.0 İnç,128 GB,6 GB,4000 mAh,64.0,https://www.epey.com/akilli-telefonlar/huawei-mate-10-pro.html
Redmi Note 10S,3215.4,6.43 İnç,64 GB,6 GB,5000 mAh,64.0,https://www.epey.com/akilli-telefonlar/redmi-note-10s-64gb.html
TCL 10 Pro,,6.47 İnç,128 GB,6 GB,4500 mAh,64.0,https://www.epey.com/akilli-telefonlar/tcl-10-pro.html
Xiaomi Mi 9T,4463.07,6.39 İnç,64 GB,6 GB,4000 mAh,63.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9t.html
Samsung Galaxy M31s,3099.0,6.5 İnç,128 GB,6 GB,6000 mAh,63.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m31s.html
Oppo Reno 3,3739.0,6.4 İnç,128 GB,8 GB,4025 mAh,63.0,https://www.epey.com/akilli-telefonlar/oppo-reno-3.html
Xiaomi Mi 9 Lite,3473.04,6.39 İnç,128 GB,6 GB,4030 mAh,63.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9-lite-128gb.html
Huawei Mate 10 Porsche Design,,6.0 İnç,256 GB,6 GB,4000 mAh,63.0,https://www.epey.com/akilli-telefonlar/huawei-mate-10-porsche-design.html
LG V30+ Plus,,6.0 İnç,128 GB,4 GB,3300 mAh,63.0,https://www.epey.com/akilli-telefonlar/lg-v30-plus.html
Samsung Galaxy A51,3699.0,6.5 İnç,256 GB,8 GB,4000 mAh,63.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a51-256gb.html
Sony Xperia XZ1,,5.2 İnç,64 GB,4 GB,2700 mAh,56.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xz1.html
Apple iPhone 8 Plus (PRODUCT)RED Special Edition,,5.5 İnç,64 GB,3 GB,2675 mAh,56.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-plus-productred-special-edition.html
Oppo A72,3290.0,6.5 İnç,128 GB,4 GB,5000 mAh,56.0,https://www.epey.com/akilli-telefonlar/oppo-a72.html
Samsung Galaxy A22,3399.0,6.4 İnç,128 GB,4 GB,5000 mAh,56.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a22-128gb.html
Apple iPhone 8 Plus,,5.5 İnç,64 GB,3 GB,2675 mAh,56.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-plus.html
Xiaomi Mi A3,3221.52,6.09 İnç,128 GB,4 GB,4030 mAh,56.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a3-128gb.html
Samsung Galaxy S7 edge,2949.0,5.5 İnç,32 GB,4 GB,3600 mAh,56.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s7-edge.html
Samsung Galaxy M40,,6.3 İnç,128 GB,6 GB,3500 mAh,56.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m40.html
Xiaomi Redmi Note 8,2438.46,6.3 İnç,128 GB,4 GB,4000 mAh,56.0,https://www.epey.com/akilli-telefonlar/redmi-note-8-128gb.html
Xiaomi Mi 6,,5.15 İnç,64 GB,6 GB,3350 mAh,56.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-6-64gb.html
TCL Plex,,6.53 İnç,128 GB,6 GB,3820 mAh,56.0,https://www.epey.com/akilli-telefonlar/tcl-plex.html
Samsung Galaxy S7 edge Duos,2949.0,5.5 İnç,32 GB,4 GB,3600 mAh,56.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s7-edge-duos.html
OnePlus 5,,5.5 İnç,64 GB,6 GB,3300 mAh,55.0,https://www.epey.com/akilli-telefonlar/oneplus-5.html
Meizu 16,,6.0 İnç,128 GB,6 GB,3100 mAh,55.0,https://www.epey.com/akilli-telefonlar/meizu-16-128gb.html
Poco M3,3149.0,6.53 İnç,128 GB,4 GB,6000 mAh,55.0,https://www.epey.com/akilli-telefonlar/poco-m3-128gb.html
Redmi 9T,2615.16,6.53 İnç,64 GB,4 GB,6000 mAh,55.0,https://www.epey.com/akilli-telefonlar/redmi-9t.html
Samsung Galaxy A50,,6.4 İnç,64 GB,6 GB,4000 mAh,55.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a50-64gb.html
Samsung Galaxy A50,3673.5,6.4 İnç,64 GB,6 GB,4000 mAh,55.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a50.html
Xiaomi Redmi Note 9,2399.0,6.53 İnç,128 GB,4 GB,5020 mAh,55.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-9-128gb.html
Oppo A73,2844.87,6.44 İnç,128 GB,4 GB,4015 mAh,55.0,https://www.epey.com/akilli-telefonlar/oppo-a73.html
HTC Desire 20 Pro,2637.22,6.5 İnç,128 GB,6 GB,5000 mAh,55.0,https://www.epey.com/akilli-telefonlar/htc-desire-20-pro.html
Xiaomi Black Shark,,5.99 İnç,64 GB,6 GB,4000 mAh,55.0,https://www.epey.com/akilli-telefonlar/xiaomi-blackshark.html
Samsung Galaxy A22,2854.17,6.4 İnç,64 GB,4 GB,5000 mAh,55.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a22.html
OnePlus 3T,,5.5 İnç,128 GB,6 GB,3400 mAh,55.0,https://www.epey.com/akilli-telefonlar/oneplus-3t-128gb.html
TCL 10L,2899.0,6.53 İnç,256 GB,6 GB,4000 mAh,55.0,https://www.epey.com/akilli-telefonlar/tcl-10l-256gb.html
Apple iPhone 8 (PRODUCT)RED Special Edition,8520.0,4.7 İnç,256 GB,2 GB,1821 mAh,55.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-productred-special-edition-256gb.html
Samsung Galaxy S7,,5.1 İnç,32 GB,4 GB,3000 mAh,55.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s7.html
Apple iPhone 8,9166.54,4.7 İnç,256 GB,2 GB,1821 mAh,55.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-256gb.html
Xiaomi Mi A3,3810.78,6.09 İnç,64 GB,4 GB,4030 mAh,55.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a3.html
Xiaomi Mi 6,,5.15 İnç,64 GB,4 GB,3350 mAh,55.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-6.html
Vivo Y53s,3812.07,6.58 İnç,128 GB,8 GB,5000 mAh,55.0,https://www.epey.com/akilli-telefonlar/vivo-y53s.html
Xiaomi Redmi Note 8,2230.14,6.3 İnç,64 GB,4 GB,4000 mAh,54.0,https://www.epey.com/akilli-telefonlar/redmi-note-8.html
Vivo Y51,2844.87,6.58 İnç,128 GB,8 GB,5000 mAh,54.0,https://www.epey.com/akilli-telefonlar/vivo-y51.html
Samsung Galaxy S7 Duos,,5.1 İnç,32 GB,4 GB,3000 mAh,54.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s7-duos.html
HP Elite x3,,5.96 İnç,64 GB,4 GB,4150 mAh,54.0,https://www.epey.com/akilli-telefonlar/hp-elite-x3.html
Honor 10,,5.84 İnç,128 GB,4 GB,3400 mAh,54.0,https://www.epey.com/akilli-telefonlar/honor-10.html
OnePlus 5T,,6.01 İnç,64 GB,6 GB,3300 mAh,54.0,https://www.epey.com/akilli-telefonlar/oneplus-5t.html
Meizu 16,,6.0 İnç,64 GB,6 GB,3100 mAh,54.0,https://www.epey.com/akilli-telefonlar/meizu-16.html
Realme 3 Pro,,6.3 İnç,128 GB,6 GB,4045 mAh,54.0,https://www.epey.com/akilli-telefonlar/realme-3-pro-128gb.html
Poco M3,2742.57,6.53 İnç,64 GB,4 GB,6000 mAh,54.0,https://www.epey.com/akilli-telefonlar/poco-m3.html
Samsung Galaxy XCover Pro,,6.3 İnç,64 GB,4 GB,4050 mAh,54.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-xcover-pro.html
HTC U Ultra,,5.7 İnç,64 GB,4 GB,3000 mAh,54.0,https://www.epey.com/akilli-telefonlar/htc-u-ultra-dual.html
HTC U Ultra,,5.7 İnç,64 GB,4 GB,3000 mAh,54.0,https://www.epey.com/akilli-telefonlar/htc-u-ultra.html
Xiaomi Mi Note 3,,5.5 İnç,128 GB,6 GB,3500 mAh,54.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-3-128gb.html
Casper VIA X20,2724.06,6.53 İnç,128 GB,6 GB,4510 mAh,54.0,https://www.epey.com/akilli-telefonlar/casper-via-x20.html
Apple iPhone 7 Plus (PRODUCT)RED Special Edition,,5.5 İnç,256 GB,3 GB,2900 mAh,54.0,https://www.epey.com/akilli-telefonlar/apple-iphone-7-plus-256gb-productred-special-edition.html
Apple iPhone 7 Plus,,5.5 İnç,256 GB,3 GB,2900 mAh,54.0,https://www.epey.com/akilli-telefonlar/apple-iphone-7-plus-256gb.html
Xiaomi Mi 8 SE,2278.5,5.88 İnç,64 GB,6 GB,3120 mAh,54.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-8-se-6gb.html
Apple iPhone 8,8079.0,4.7 İnç,128 GB,2 GB,1821 mAh,54.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-128gb.html
Xiaomi Mi Note 2,,5.7 İnç,128 GB,6 GB,4070 mAh,54.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-2-128gb.html
Infinix Note 8,2349.0,6.95 İnç,128 GB,6 GB,5200 mAh,53.0,https://www.epey.com/akilli-telefonlar/infinix-note-8.html
Vestel Venus Z40,2603.07,6.4 İnç,128 GB,4 GB,3500 mAh,53.0,https://www.epey.com/akilli-telefonlar/vestel-venus-z40.html
ZTE Nubia Z17S,,5.73 İnç,128 GB,8 GB,3100 mAh,53.0,https://www.epey.com/akilli-telefonlar/zte-nubia-z17s-128gb.html
LG G6,,5.7 İnç,32 GB,4 GB,3300 mAh,53.0,https://www.epey.com/akilli-telefonlar/lg-g6-dual.html
Redmi Note 8 (2021),,6.3 İnç,64 GB,4 GB,4000 mAh,53.0,https://www.epey.com/akilli-telefonlar/redmi-note-8-2021.html
LG G6,,5.7 İnç,32 GB,4 GB,3300 mAh,53.0,https://www.epey.com/akilli-telefonlar/lg-g6.html
Honor Play,,6.3 İnç,64 GB,4 GB,3750 mAh,53.0,https://www.epey.com/akilli-telefonlar/honor-play.html
Xiaomi Redmi Note 9,2159.46,6.53 İnç,64 GB,3 GB,5020 mAh,53.0,https://www.epey.com/akilli-telefonlar/redmi-note-9.html
ZTE Axon 7,,5.5 İnç,64 GB,4 GB,3250 mAh,53.0,https://www.epey.com/akilli-telefonlar/zte-axon-7.html
Meizu Pro 7 Plus,,5.7 İnç,128 GB,6 GB,3500 mAh,53.0,https://www.epey.com/akilli-telefonlar/meizu-pro-7-plus.html
UMIDIGI Z2 Pro,,6.2 İnç,128 GB,6 GB,3550 mAh,53.0,https://www.epey.com/akilli-telefonlar/umidigi-z2-pro.html
Apple iPhone 7 Plus (PRODUCT)RED Special Edition,,5.5 İnç,128 GB,3 GB,2900 mAh,53.0,https://www.epey.com/akilli-telefonlar/apple-iphone-7-plus-product-red-special-edition.html
Apple iPhone 7 Plus,8684.04,5.5 İnç,128 GB,3 GB,2900 mAh,52.0,https://www.epey.com/akilli-telefonlar/apple-iphone-7-plus-128gb.html
Xiaomi Mi 8 SE,,5.88 İnç,64 GB,4 GB,3120 mAh,52.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-8-se.html
Xiaomi Mi Note 3,,5.5 İnç,64 GB,6 GB,3500 mAh,52.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-3.html
Huawei P Smart S,2779.0,6.3 İnç,128 GB,4 GB,4000 mAh,52.0,https://www.epey.com/akilli-telefonlar/huawei-p-smart-s.html
TCL 10L,2417.07,6.53 İnç,64 GB,6 GB,4000 mAh,52.0,https://www.epey.com/akilli-telefonlar/tcl-10l.html
Oppo A52,2624.8,6.5 İnç,64 GB,4 GB,5000 mAh,52.0,https://www.epey.com/akilli-telefonlar/oppo-a52.html
Apple iPhone 8 (PRODUCT)RED Special Edition,,4.7 İnç,64 GB,2 GB,1821 mAh,52.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-productred-special-edition.html
Infinix Note 8i,2299.0,6.78 İnç,128 GB,4 GB,5200 mAh,52.0,https://www.epey.com/akilli-telefonlar/infinix-note-8i.html
Apple iPhone 8,7669.0,4.7 İnç,64 GB,2 GB,1821 mAh,52.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8.html
Tecno Camon 16,2505.42,6.8 İnç,128 GB,6 GB,5000 mAh,52.0,https://www.epey.com/akilli-telefonlar/tecno-camon-16.html
Xiaomi Redmi Note 7,,6.3 İnç,128 GB,4 GB,4000 mAh,52.0,https://www.epey.com/akilli-telefonlar/redmi-note-7-128gb.html
LG G7 Fit,,6.1 İnç,32 GB,4 GB,3000 mAh,52.0,https://www.epey.com/akilli-telefonlar/lg-g7-fit.html
Huawei Mate 9,,5.9 İnç,64 GB,4 GB,4000 mAh,52.0,https://www.epey.com/akilli-telefonlar/huawei-mate-9.html
Huawei P10,2882.07,5.1 İnç,64 GB,4 GB,3200 mAh,52.0,https://www.epey.com/akilli-telefonlar/huawei-p10.html
Huawei P10,,5.1 İnç,64 GB,4 GB,3200 mAh,52.0,https://www.epey.com/akilli-telefonlar/huawei-p10-dual-sim.html
Xiaomi Mi MIX 2,,5.99 İnç,128 GB,6 GB,3400 mAh,52.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-mix-2-128gb.html
Oppo A9 2020,3176.61,6.5 İnç,128 GB,4 GB,5000 mAh,52.0,https://www.epey.com/akilli-telefonlar/oppo-a9-2020.html
LG V20,,5.7 İnç,64 GB,4 GB,3200 mAh,52.0,https://www.epey.com/akilli-telefonlar/lg-v20.html
Xiaomi Mi 8 Lite,3254.07,6.26 İnç,128 GB,6 GB,3350 mAh,52.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-8-lite-128gb.html
Samsung Galaxy M30,,6.4 İnç,128 GB,6 GB,5000 mAh,52.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m30-128gb.html
General Mobile GM 9 Pro,2397.0,6.01 İnç,64 GB,4 GB,3800 mAh,52.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-9-pro.html
General Mobile GM 9 Pro d,2606.79,6.01 İnç,64 GB,4 GB,3800 mAh,52.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-9-pro-d.html
General Mobile GM 20 Pro,2576.1,6.3 İnç,128 GB,6 GB,4050 mAh,51.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-20-pro-cift-sim.html
General Mobile GM 20 Pro,2292.54,6.3 İnç,128 GB,6 GB,4050 mAh,51.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-20-pro.html
Realme 6i,2696.07,6.5 İnç,128 GB,4 GB,5000 mAh,51.0,https://www.epey.com/akilli-telefonlar/realme-6i.html
Huawei P30 Lite,3698.0,6.15 İnç,128 GB,4 GB,3340 mAh,51.0,https://www.epey.com/akilli-telefonlar/huawei-p30-lite.html
Asus ZenFone 5,,6.2 İnç,64 GB,4 GB,3300 mAh,51.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-5-ze620kl.html
Samsung Galaxy A8+ Plus (2018),,6.0 İnç,64 GB,4 GB,3500 mAh,51.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a8plus-plus-2018-duos.html
Samsung Galaxy A8+ Plus (2018),4489.0,6.0 İnç,64 GB,4 GB,3500 mAh,51.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a8-plus-2018.html
Realme 3 Pro,,6.3 İnç,64 GB,4 GB,4045 mAh,51.0,https://www.epey.com/akilli-telefonlar/realme-3-pro.html
Tecno Pova,2424.97,6.8 İnç,128 GB,6 GB,6000 mAh,51.0,https://www.epey.com/akilli-telefonlar/tecno-pova.html
BlackBerry KEY2 Red Edition,,4.5 İnç,128 GB,6 GB,3500 mAh,49.0,https://www.epey.com/akilli-telefonlar/blackberry-key2-red-edition.html
Huawei Mate 20 Lite,2199.0,6.3 İnç,64 GB,4 GB,3750 mAh,49.0,https://www.epey.com/akilli-telefonlar/huawei-mate-20-lite.html
Xiaomi Mi 8 Lite,3303.0,6.26 İnç,64 GB,4 GB,3350 mAh,49.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-8-lite.html
Huawei P30 Lite,2999.0,6.15 İnç,64 GB,4 GB,3340 mAh,49.0,https://www.epey.com/akilli-telefonlar/huawei-p30-lite-64gb.html
Meizu Note 9,,6.2 İnç,64 GB,4 GB,4000 mAh,49.0,https://www.epey.com/akilli-telefonlar/meizu-note9.html
Xiaomi Mi A2,,5.99 İnç,128 GB,6 GB,3010 mAh,49.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a2-128gb.html
Samsung Galaxy M30,,6.4 İnç,64 GB,4 GB,5000 mAh,49.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m30.html
Samsung Galaxy S6,,5.1 İnç,64 GB,3 GB,2550 mAh,49.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s6-64gb.html
Oppo RX17 Neo,3280.04,6.41 İnç,128 GB,4 GB,3600 mAh,49.0,https://www.epey.com/akilli-telefonlar/oppo-rx17-neo.html
Huawei P30 Lite,,6.15 İnç,128 GB,4 GB,3340 mAh,49.0,https://www.epey.com/akilli-telefonlar/huawei-p30-lite-dual.html
Samsung Galaxy M12,2349.0,6.5 İnç,128 GB,4 GB,5000 mAh,49.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m12-128gb.html
Asus ZenFone 4,,5.5 İnç,64 GB,4 GB,3300 mAh,49.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-4.html
